subject,activity,sensor,component,domain,var,aggregation_type,value
1,WALKING,Accelerometer,Body,Time,X,mean,0.265696920582133
2,STANDING,Accelerometer,Body,Time,X,mean,0.273113115788079
3,WALKING,Accelerometer,Body,Time,X,mean,0.273428719636364
4,STANDING,Accelerometer,Body,Time,X,mean,0.274183111498423
5,WALKING,Accelerometer,Body,Time,X,mean,0.279177960301325
6,WALKING,Accelerometer,Body,Time,X,mean,0.272376614181538
7,WALKING,Accelerometer,Body,Time,X,mean,0.270211697814935
8,WALKING,Accelerometer,Body,Time,X,mean,0.278268887727273
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,mean,0.266674048906593
9,STANDING,Accelerometer,Body,Time,X,mean,0.270313841621528
10,LAYING,Accelerometer,Body,Time,X,mean,0.276977089565657
10,STANDING,Accelerometer,Body,Time,X,mean,0.276583204166667
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,mean,0.27658531139557
12,LAYING,Accelerometer,Body,Time,X,mean,0.27360872421875
13,LAYING,Accelerometer,Body,Time,X,mean,0.275895876198777
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,mean,0.270184596009288
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,mean,0.27821340725
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,mean,0.277887440374317
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,mean,0.273849441115044
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,mean,0.276134936206897
18,LAYING,Accelerometer,Body,Time,X,mean,0.276324152142857
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,mean,0.269723487105556
20,LAYING,Accelerometer,Body,Time,X,mean,0.268425757926554
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,mean,0.277466525522059
22,SITTING,Accelerometer,Body,Time,X,mean,0.242298449272727
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,mean,0.277156731173244
23,SITTING,Accelerometer,Body,Time,X,mean,0.273493254730108
24,LAYING,Accelerometer,Body,Time,X,mean,0.276767046391076
25,SITTING,Accelerometer,Body,Time,X,mean,0.275301467772127
26,SITTING,Accelerometer,Body,Time,X,mean,0.2730365808625
27,SITTING,Accelerometer,Body,Time,X,mean,0.277264567074468
28,SITTING,Accelerometer,Body,Time,X,mean,0.278739266553398
28,STANDING,Accelerometer,Body,Time,X,mean,0.276120153465909
29,STANDING,Accelerometer,Body,Time,X,mean,0.279111521944767
30,STANDING,Accelerometer,Body,Time,X,mean,0.276305836721932
1,WALKING,Accelerometer,Body,Time,Y,mean,-0.0182981725176081
2,STANDING,Accelerometer,Body,Time,Y,mean,-0.0191323183174834
3,WALKING,Accelerometer,Body,Time,Y,mean,-0.017856067384956
4,STANDING,Accelerometer,Body,Time,Y,mean,-0.0148081545344921
5,WALKING,Accelerometer,Body,Time,Y,mean,-0.0154833455336192
6,WALKING,Accelerometer,Body,Time,Y,mean,-0.0175697042641846
7,WALKING,Accelerometer,Body,Time,Y,mean,-0.0187904887668182
8,WALKING,Accelerometer,Body,Time,Y,mean,-0.0144537072594949
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0202216031321978
